asset_name,category,tier,purpose,material_family,filename,snap_grid_m
WK_PROP_BARREL_A_01,07_PROPS,DETAIL,"Brine barrel: lathed stave profile, three steel hoops, a bung and a stencilled batch mark. Reads at any distance.",MK_TIMBER|MK_STEEL_AGED|MK_STEEL_PRIMER,props/WK_PROP_BARREL_A_01.glb,1.0
WK_PROP_CRATE_A_01,07_PROPS,DETAIL,Slatted packing crate with chamfered battens and steel corner straps.,MK_TIMBER|MK_STEEL_AGED,props/WK_PROP_CRATE_A_01.glb,1.0
WK_PROP_VALVE_A_01,07_PROPS,DETAIL,"Flanged brine valve on a stub stand: brass body, cast wheel with a mechanically meaningful pivot, gauge boss.",MK_BRASS|MK_STEEL_AGED|MK_STEEL_PAINTED|MK_STEEL_PRIMER,props/WK_PROP_VALVE_A_01.glb,1.0
WK_LIGHT_LAMP_WALL_A_01,08_LIGHTS,DETAIL,"Caged sodium wall lamp: cast bracket, brass cap, wired guard and an emissive tube. The only warm light source in the world.",MK_STEEL_PRIMER|MK_BRASS|MK_EMISSIVE_AMBER|MK_STEEL_AGED,lights/WK_LIGHT_LAMP_WALL_A_01.glb,1.0
WK_LIGHT_LAMP_PENDANT_A_01,08_LIGHTS,DETAIL,Suspended enamel-shade pendant with a chain and an emissive core. Hangs over benches and consoles.,MK_STEEL_PAINTED|MK_STEEL_AGED|MK_EMISSIVE_AMBER,lights/WK_LIGHT_LAMP_PENDANT_A_01.glb,1.0
WK_SIGN_PLAQUE_A_01,09_SIGNAGE,DETAIL,"Vitreous enamel station plaque: white body, brine-teal capitals, four bolt holes, chipped rim. Carries the world's name.",MK_SIGNAGE_ENAMEL|MK_STEEL_PAINTED|MK_BRASS,signage/WK_SIGN_PLAQUE_A_01.glb,0.1
WK_SIGN_DIRECTIONAL_A_01,09_SIGNAGE,DETAIL,Directional board with a cast arrow and a destination plate. Mounts to a wall or a railing post.,MK_SIGNAGE_ENAMEL|MK_STEEL_PAINTED|MK_STEEL_AGED,signage/WK_SIGN_DIRECTIONAL_A_01.glb,0.1
WK_SIGN_WARNING_A_01,09_SIGNAGE,DETAIL,Ochre hazard placard with a black triangle and a two-line warning. Marks live brine and unstable floor.,MK_SIGNAGE_ENAMEL|MK_STEEL_AGED,signage/WK_SIGN_WARNING_A_01.glb,0.1
WK_VEG_SALTBUSH_A_01,10_VEGETATION,DETAIL,"Low grey-green saltbush cluster, never taller than 0.6 m. Marks neglect: breaches, unused edges, cracked slab.",MK_CONCRETE_STRUCT,vegetation/WK_VEG_SALTBUSH_A_01.glb,1.0
WK_DECAL_WATERLINE_A_01,11_DECALS,DETAIL,"4.0 x 1.6 m waterline stain sheet: tide band, salt bloom and downward streaks. Applied at the historic high-water mark.",MK_DECAL_OVERLAY_WATERLINE,decals/WK_DECAL_WATERLINE_A_01.glb,1.0
WK_DECAL_CRACK_A_01,11_DECALS,DETAIL,4.0 x 4.0 m crack and spall sheet for slabs and walls: hairline crazing plus two structural cracks with exposed aggregate.,MK_DECAL_OVERLAY_CRACK,decals/WK_DECAL_CRACK_A_01.glb,1.0
WK_TERRAIN_WATER_A_01,12_TERRAIN,FOUNDATION,"4.0 m brine water pane: translucent, cyan emissive, faintly rippled. The ground under the station.",MK_WATER_BRINE|MK_EMISSIVE_CYAN,terrain/WK_TERRAIN_WATER_A_01.glb,4.0
WK_HERO_EVAPORATOR_A_01,13_HERO,HERO,"Great evaporator tank: 4.4 m riveted shell, banded courses, a laddered access cage, a brass relief stack and a cyan sight glass. The reason the station exists.",MK_STEEL_PAINTED|MK_STEEL_PRIMER|MK_STEEL_AGED|MK_BRASS|MK_EMISSIVE_CYAN,hero/WK_HERO_EVAPORATOR_A_01.glb,4.0
WK_HERO_BEACON_A_01,13_HERO,HERO,"Signal beacon: tapering cast shaft, a glazed lantern with a brass fresnel ring, a gallery rail and a finial. The identity of the world.",MK_CONCRETE_STRUCT|MK_STEEL_PAINTED|MK_BRASS|MK_GLASS|MK_EMISSIVE_AMBER|MK_STEEL_AGED,hero/WK_HERO_BEACON_A_01.glb,4.0
WK_HERO_SLUICE_A_01,13_HERO,HERO,"Sluice gate assembly: cast portal, counterweighted steel leaf, chain and windlass. Where the tide is let into the works.",MK_CONCRETE_STRUCT|MK_STEEL_PRIMER|MK_STEEL_AGED|MK_BRASS|MK_STEEL_PAINTED,hero/WK_HERO_SLUICE_A_01.glb,4.0
